北京,132,44
天津,62,43
辽宁,146,85
吉林,93,32
黑龙江,89,106
上海,94,73
江苏,97,171
浙江,53,123
安徽,53,179
福建,27,128
山东,94,154
湖北,79,98
湖南,76,126
广东,83,158
重庆,49,61
四川,86,147
陕西,117,108
甘肃,44,61
河北,86,106
山西,56,99
内蒙古,32,52
河南,78,72
海南,6,24
广西,51,85
贵州,49,61
云南,49,89
西藏,10,6
青海,13,24
宁夏,16,33
新疆,44,83
江西,42,174
香港,3,0
澳门,0,2
