中国药科大学,江苏,医药,本科,211
南京师范大学,江苏,师范,本科,211
安徽大学,安徽,综合,本科,211
合肥工业大学,安徽,工科,本科,211
福州大学,福建,工科,本科,211
郑州大学,河南,综合,本科,211
华中农业大学,湖北,农业,本科,211
华中师范大学,湖北,师范,本科,211
湖南师范大学,湖南,师范,本科,211
暨南大学,广东,综合,本科,211
华南农业大学,广东,农业,本科,
广州中医药大,广东,医药,本科,
华南师范大学,广东,师范,本科,211
海南大学,海南,综合,本科,211
广西大学,广西,综合,本科,211
西南交通大学,四川,工科,本科,211
四川农业大学,四川,农业,本科,211
西南大学,重庆,师范,本科,211
西南财经大学,四川,财经,本科,211
贵州大学,贵州,综合,本科,211
云南大学,云南,综合,本科,211
西藏大学,西藏,综合,本科,211
西北大学,陕西,综合,本科,211
西安电子科技,陕西,工科,本科,211
陕西师范大学,陕西,师范,本科,211
青海大学,青海,综合,本科,211
宁夏大学,宁夏,综合,本科,211
新疆大学,新疆,综合,本科,211
石河子大学,新疆,综合,本科,211
中国矿业大学,北京,工科,本科,211
中国地质大学,北京,工科,本科,211
南昌大学,江西,综合,本科,211
上海大学,上海,综合,本科,211
天津医科大学,天津,医药,本科,211
长安大学,陕西,工科,本科,211
中南财经政法,湖北,财经,本科,211
武汉理工大学,湖北,工科,本科,211
东北农业大学,黑龙江,农业,本科,211
中国人民解放,湖南,军事,本科,211
中国人民解放,上海,军事,本科,211
第四军医大学,陕西,军事,其它,211
上海交通大学,上海,医药,本科,211
中国传媒大学,北京,语言,本科,211
中国地质大学,湖北,工科,本科,211
中国石油大学,北京,工科,本科,211
中国石油大学,山东,工科,本科,211
北方工业大学,北京,工科,本科,
北京服装学院,北京,工科,本科,
北京印刷学院,北京,工科,本科,
北京建筑大学,北京,工科,本科,
北京石油化工,北京,工科,本科,
北京电子科技,北京,工科,本科,
北京农学院,北京,农业,本科,
首都医科大学,北京,医药,本科,
首都师范大学,北京,师范,本科,211
首都体育学院,北京,体育,本科,
北京第二外国,北京,语言,本科,
北京语言大学,北京,语言,本科,
北京物资学院,北京,财经,本科,
外交学院,北京,语言,本科,
中国人民公安,北京,政法,本科,
国际关系学院,北京,政法,本科,
中国音乐学院,北京,艺术,本科,
中央美术学院,北京,艺术,本科,
中央戏剧学院,北京,艺术,本科,
中国戏曲学院,北京,艺术,本科,
北京电影学院,北京,艺术,本科,
北京舞蹈学院,北京,艺术,本科,
天津科技大学,天津,工科,本科,
天津工业大学,天津,工科,本科,
中国民航大学,天津,工科,本科,
天津理工大学,天津,工科,本科,
天津农学院,天津,农业,本科,
天津中医药大,天津,医药,本科,
天津师范大学,天津,师范,本科,
天津外国语学,天津,语言,本科,
天津商业大学,天津,财经,本科,
天津体育学院,天津,体育,本科,
天津音乐学院,天津,艺术,本科,
天津美术学院,天津,艺术,本科,
河北大学,河北,综合,本科,
石家庄经济学,河北,财经,本科,
河北科技大学,河北,工科,本科,
河北建筑工程,河北,工科,本科,
华北煤炭医学,河北,医药,本科,
承德医学院,河北,医药,本科,
河北师范大学,河北,师范,本科,
唐山师范学院,河北,师范,本科,
廊坊师范学院,河北,师范,本科,
邢台学院,河北,师范,本科,
石家庄铁道学,河北,工科,本科,
山西大学,山西,综合,本科,
山西农业大学,山西,农业,本科,
山西医科大学,山西,医药,本科,
长治医学院,山西,医药,本科,
山西师范大学,山西,师范,本科,
太原师范学院,山西,师范,本科,
西北大学,陕西,综合,本科,211
西安电子科技,陕西,工科,本科,211
陕西师范大学,陕西,师范,本科,211
青海大学,青海,综合,本科,211
宁夏大学,宁夏,综合,本科,211
新疆大学,新疆,综合,本科,211
石河子大学,新疆,综合,本科,211
中国矿业大学,北京,工科,本科,211
中国地质大学,北京,工科,本科,211
南昌大学,江西,综合,本科,211
上海大学,上海,综合,本科,211
天津医科大学,天津,医药,本科,211
长安大学,陕西,工科,本科,211
中南财经政法,湖北,财经,本科,211
武汉理工大学,湖北,工科,本科,211
东北农业大学,黑龙江,农业,本科,211
中国人民解放,湖南,军事,本科,211
中国人民解放,上海,军事,本科,211
第四军医大学,陕西,军事,其它,211
上海交通大学,上海,医药,本科,211
中国传媒大学,北京,语言,本科,211
中国地质大学,湖北,工科,本科,211
中国石油大学,北京,工科,本科,211
中国石油大学,山东,工科,本科,211
北方工业大学,北京,工科,本科,
北京服装学院,北京,工科,本科,
北京印刷学院,北京,工科,本科,
北京建筑大学,北京,工科,本科,
北京石油化工,北京,工科,本科,
北京电子科技,北京,工科,本科,
北京农学院,北京,农业,本科,
首都医科大学,北京,医药,本科,
首都师范大学,北京,师范,本科,211
首都体育学院,北京,体育,本科,
北京第二外国,北京,语言,本科,
北京语言大学,北京,语言,本科,
北京物资学院,北京,财经,本科,
外交学院,北京,语言,本科,
中国人民公安,北京,政法,本科,
国际关系学院,北京,政法,本科,
中国音乐学院,北京,艺术,本科,
中央美术学院,北京,艺术,本科,
中央戏剧学院,北京,艺术,本科,
中国戏曲学院,北京,艺术,本科,
北京电影学院,北京,艺术,本科,
北京舞蹈学院,北京,艺术,本科,
天津科技大学,天津,工科,本科,
天津工业大学,天津,工科,本科,
中国民航大学,天津,工科,本科,
天津理工大学,天津,工科,本科,
天津农学院,天津,农业,本科,
天津中医药大,天津,医药,本科,
天津师范大学,天津,师范,本科,
天津外国语学,天津,语言,本科,
天津商业大学,天津,财经,本科,
天津体育学院,天津,体育,本科,
天津音乐学院,天津,艺术,本科,
天津美术学院,天津,艺术,本科,
河北大学,河北,综合,本科,
石家庄经济学,河北,财经,本科,
河北科技大学,河北,工科,本科,
河北建筑工程,河北,工科,本科,
华北煤炭医学,河北,医药,本科,
承德医学院,河北,医药,本科,
河北师范大学,河北,师范,本科,
唐山师范学院,河北,师范,本科,
廊坊师范学院,河北,师范,本科,
邢台学院,河北,师范,本科,
石家庄铁道学,河北,工科,本科,
山西大学,山西,综合,本科,
山西农业大学,山西,农业,本科,
山西医科大学,山西,医药,本科,
长治医学院,山西,医药,本科,
山西师范大学,山西,师范,本科,
太原师范学院,山西,师范,本科,
晋中学院,山西,师范,本科,
运城学院,山西,师范,本科,
忻州师范学院,山西,师范,本科,
